Path	Replication	ModificationTime	AccessTime	PreferredBlockSize	BlocksCount	FileSize	NSQUOTA	DSQUOTA	Permission	UserName	GroupName
/tmp/hive/root/84c11e86-fece-4e13-a55b-ed0fb53c2ea8	0	2022-07-22 17:51	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/84c11e86-fece-4e13-a55b-ed0fb53c2ea8/_tmp_space.db	0	2022-07-22 17:51	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/a1a2a1f6-af16-44ca-8e38-3d4ff16ad785	0	2022-07-22 17:52	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/a1a2a1f6-af16-44ca-8e38-3d4ff16ad785/_tmp_space.db	0	2022-07-22 17:52	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/e09daaa5-0b5a-48ca-ac28-ab24f10d06bf	0	2022-07-22 17:52	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/e09daaa5-0b5a-48ca-ac28-ab24f10d06bf/_tmp_space.db	0	2022-07-22 17:52	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/6688dbeb-3c57-46e6-8eb7-d026ff475c6e	0	2022-07-22 17:53	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/6688dbeb-3c57-46e6-8eb7-d026ff475c6e/_tmp_space.db	0	2022-07-22 17:53	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/bf7836da-6463-4523-82e9-aab0abd57366	0	2022-07-22 17:53	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/bf7836da-6463-4523-82e9-aab0abd57366/_tmp_space.db	0	2022-07-22 17:53	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/aabdb3ec-4df4-48fe-a6e6-3442bd4e93c4	0	2022-07-22 17:54	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/aabdb3ec-4df4-48fe-a6e6-3442bd4e93c4/_tmp_space.db	0	2022-07-22 17:54	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/cb952fec-673e-440f-a563-318f0ab71447	0	2022-07-22 17:54	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/cb952fec-673e-440f-a563-318f0ab71447/_tmp_space.db	0	2022-07-22 17:54	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/482967a3-dbb8-49d9-a469-2018ca97f4fd	0	2022-07-22 17:55	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/482967a3-dbb8-49d9-a469-2018ca97f4fd/_tmp_space.db	0	2022-07-22 17:55	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/f95a7038-6514-42a1-8a82-020f7a05a825	0	2022-07-22 17:55	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/f95a7038-6514-42a1-8a82-020f7a05a825/_tmp_space.db	0	2022-07-22 17:55	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/917446f7-b115-495a-9009-0744f3e61324	0	2022-07-22 17:56	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/917446f7-b115-495a-9009-0744f3e61324/_tmp_space.db	0	2022-07-22 17:56	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/0bb027dc-cbe5-44e5-bd21-c4952c17284b	0	2022-07-22 17:56	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/0bb027dc-cbe5-44e5-bd21-c4952c17284b/_tmp_space.db	0	2022-07-22 17:56	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/f7b5407f-2cc4-4050-b386-100ce094d382	0	2022-07-22 17:57	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/f7b5407f-2cc4-4050-b386-100ce094d382/_tmp_space.db	0	2022-07-22 17:57	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/6e5fa976-710d-4aef-9985-8fba5eaf6acd	0	2022-07-22 17:57	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/6e5fa976-710d-4aef-9985-8fba5eaf6acd/_tmp_space.db	0	2022-07-22 17:57	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/da1d2c58-7690-48d7-8d6c-66ee0c72f2bb	0	2022-07-22 17:59	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/da1d2c58-7690-48d7-8d6c-66ee0c72f2bb/_tmp_space.db	0	2022-07-22 17:59	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/505c5642-9cf0-4c7e-ad75-e9cb3bc2ee24	0	2022-07-22 17:59	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/505c5642-9cf0-4c7e-ad75-e9cb3bc2ee24/_tmp_space.db	0	2022-07-22 17:59	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/01a16350-bbbf-437d-8f40-d322ba739dac	0	2022-07-22 18:00	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/01a16350-bbbf-437d-8f40-d322ba739dac/_tmp_space.db	0	2022-07-22 18:00	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/6f38694b-39fb-4598-abec-62de00a1efd9	0	2022-07-22 18:00	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
